BARGAINTERMS_PRICE;PRICE_SQM;FLOORS_MAX;ROOMSCOUNT;TOTALAREA;LIVINGAREA;KITCHENAREA;REPAIRTYPE;COMBINEDWCSCOUNT;SEPARATEWCSCOUNT;BALCONIESCOUNT;LOGGIASCOUNT
9400000;223810;;1;42;18;12;требуется ремонт;0;0;1;0
9500000;121639;8;4;78,1;53,9;6,1;требуется ремонт;;2;;2
5490000;134559;19;1;40,8;18;9;требуется ремонт;1;;;1
6200000;191950;8;1;32,3;;;косметический ремонт;0;1;1;0
17000000;163462;;3;104;55;14;требуется ремонт;;;;
6099999;145238;;1;42;15,3;16;евроремонт;0;1;0;1
6000000;157068;19;1;38,2;18;11;дизайнерский ремонт;1;;;1
8800000;195556;19;1;45;;;;;;;
12000000;116667;23;3;108;86,1;12,7;требуется ремонт;1;1;1;1
11030928;186649;;2;59,1;23,6;22,3;косметический ремонт;;;;
3490000;99714;;1;35;18;6;косметический ремонт;1;;1;
10860000;193929;;2;56;40;6;евроремонт;;1;1;
11000000;101852;23;3;108;;12,7;требуется ремонт;0;2;1;1
4000000;105263;;1;38;16,4;;;1;;;1
6600000;148884;;1;44,8;;12,3;косметический ремонт;0;1;1;0
3600000;151261;;;23,8;15,6;4;евроремонт;1;0;0;1
8200000;96471;9;2;85;24;37;требуется ремонт;2;0;0;1
7600000;105556;17;3;72;44;10;евроремонт;0;1;0;1
7000000;218750;;1;32;20;6;евроремонт;1;;0;0
7350000;154082;8;2;49;28;12;евроремонт;0;1;1;0
9950000;118452;23;2;84;39;17;требуется ремонт;2;;1;
12500000;115634;23;3;108,1;66,8;12,7;требуется ремонт;1;1;2;0
4700000;144615;8;1;32,5;15;8,2;требуется ремонт;0;1;0;1
7800000;141818;18;2;55;31;13;косметический ремонт;;1;;1
11500000;103047;;3;111,6;70;12,7;требуется ремонт;;;1;1
5500000;137500;15;1;40;16;12,3;евроремонт;1;0;;
6200000;216783;8;;28,6;;;дизайнерский ремонт;;;1;1
7000000;102941;8;3;68;40;;;;2;;1
3600000;151261;;;23,8;15,6;4;евроремонт;1;0;0;1
8200000;96471;9;2;85;24;37;требуется ремонт;2;0;0;1
4200000;95455;;2;44;24,5;8;евроремонт;1;0;0;1
5000000;107991;;2;46,3;29;6,2;евроремонт;1;0;0;0
8950000;79204;;3;113;66;28;евроремонт;1;0;2;0
6700000;194203;;1;34,5;19,4;9,6;;1;1;0;1
11500000;103047;;3;111,6;70;12,7;требуется ремонт;;;1;1
8990000;182500;;2;52;29;12;косметический ремонт;;1;;1
24700000;190000;;5;130;;;евроремонт;1;;;
5600000;207407;18;1;27;20;6;;0;1;0;0
6000000;115385;;3;52;36;;требуется ремонт;;1;;
6199990;198895;19;1;36,2;18;9;евроремонт;1;;;1
9200000;109394;23;2;84,1;39,5;17,4;требуется ремонт;2;;;1
9200000;109394;23;2;84,1;38,5;17,4;требуется ремонт;2;;;1
6000000;135052;8;2;48,5;27,1;10,1;требуется ремонт;0;0;;
7000000;200000;;1;35;;11;косметический ремонт;1;0;0;0
6000000;109890;10;2;54,6;30,4;8,2;требуется ремонт;1;;1;
12700000;248047;26;2;51,2;5;10,4;евроремонт;;1;;
8000000;195122;26;1;41;14,7;12,5;евроремонт;1;0;0;1
6170000;285648;26;;21,6;10,2;5,6;евроремонт;1;0;0;0
